"filename", "language", "JavaScript", "Batch", "JSON", "Groovy", "Properties", "Objective-C", "Objective-C++", "C++", "XML", "Java", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/Images.xcassets/Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 1, 48
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/main.m", "Objective-C", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradoreTests/monstradoreTests.m", "Objective-C", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 14, 67
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/multimedia/MultimediaScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/navigation/NavigationScreen.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/navigation/TabsScreen.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/networkcall/NetworkCallScreen.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/objects/ObjectsScreen.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/package-lock.json", "JSON", 0, 0, 16186, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16187
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/package.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/performance/PerformanceScreen.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/performance/Worker.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 39
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/persistence/PersistenceScreen.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/uielements/AndroidScreen.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 171
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/uielements/IOSScreen.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/uielements/UIElementsScreen.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 162
"Total", "-", 1644, 68, 16314, 209, 11, 61, 99, 172, 107, 292, 351, 423, 19751
